"title","date","tags","article"
"3000円でよさげなリケーブルが買えるだと!? 2.5mm/4.4mmバランス端子も選べるKINERA「CD001」（GetNavi web）","2018年2月13日 17時15分","家電,企業・産業,ライフ",""
"コインチェック、円出金を再開","2018年2月13日 11時17分","経済,最新の経済ニュース,企業・産業,速報","巨額の仮想通貨「ＮＥＭ（ネム）」を流出させた交換業者大手のコインチェック（東京）は１３日、流出後に停止していた顧客の円資産の出金を再開した。一方、被害を受けた約２６万人に対する約４６０億円の補償の時期や、仮想通貨出金のめどは依然、明らかにしていない。約５８０億円相当のネム流出は１月２６日に発生し、同社は顧客から預かっている日本円の引き出しなども停止していた。出金は顧客が指定する銀行口座に順次振り込む形で行うという。同社は１３日、再発防止策を盛り込んだ業務改善報告書を金融庁に提出する予定。【岡大介】"
"富士フイルムによる買収反対　大株主が声明","2018年2月13日 09時17分","アメリカ,最新の経済ニュース,企業・産業,速報,経済","米事務機器大手ゼロックスの大株主の米著名投資家カール・アイカーン氏は１２日、別の大株主と共に、ゼロックスの株主に対し富士フイルムホールディングスによるゼロックス買収に反対を呼び掛ける共同声明を発表した。富士フイルムは１月末、合弁子会社の富士ゼロックスとゼロックスを経営統合し、株式の過半を保有すると発表。ただ経営統合にはゼロックス株主総会での承認が必要だ。アイカーン氏の持ち株比率は９％超。別の大株主と合わせると１０％を上回るとみられ、米ダウ・ジョーンズ通信は「経営統合の大きな障害になる」と伝えた。（共同）"
"本命より自分に高級チョコ　写真映えを意識","2018年2月12日 18時51分","社会一般,最新の経済ニュース,企業・産業,速報,経済","２月１４日のバレンタインデーを前に、大手百貨店の商戦が本格化している。最近では本命の相手に贈るよりも、自分や友人に高級チョコレートを買うイベントとして定着。写真に撮りたくなるような商品や、工夫を凝らした売り場づくりで女性の心をつかもうと懸命だ。１月下旬に東京都内の西武池袋本店を訪れた会社員の女性（３３）は「今日は下見で、もう一度買いに来る」と、複数回訪れて楽しんでいると明かした。同店では昨年までの１０年間で、バレンタイン期間中のチョコの売り上げが約４倍に拡大。ことしは女性が持ち寄ることを想定し、花束のように見えて写真映えのするチョコなどを取りそろえた。松屋銀座が実施したアンケートによると、自分用に買うチョコの予算は３９９４円で、昨年より約５００円上がった。本命に贈る予算に比べると約６００円高い。同店の担当者は「普段は節約するが、イベントへの出費は惜しまない」と期待する。板チョコのパネルを背景に写真が撮れるスポットを店内に設け、会員制交流サイト（ＳＮＳ）での拡散を狙う。高島屋は、１０～２０代に人気の歌手グループが監修したチョコを販売した。一部店舗限定で歌手の映像を流し、ファンの若い女性の来店を促す。三越伊勢丹は、１月に都内で開催した恒例のチョコの販売イベントを、混雑緩和のため今年から有料にした。「お目当てのシェフと会話しながらゆっくり自分用のチョコを選べた人が多く、客単価は昨年の２倍近くに伸びた」と盛況ぶりを説明した。（共同）"
"輸出先タイで「高級品」人気　シェアは９割","2018年2月12日 11時21分","経済,最新の経済ニュース,企業・産業,速報","三重県産ミカンのタイへの輸出が増加している。タイにミカンを輸出している都道府県は三重と静岡のみで、２０１６年度の三重のシェアは９割を超える。タイは、輸出検査や殺菌処理などのハードルが他国への輸出に比べて高い。さらなる輸出拡大につなげようと、鈴木英敬知事が、条件緩和に向けた２国間協議を斎藤健・農相に要望した。【井口慎太郎】タイは０７年６月、日本産かんきつの輸入を解禁した。過去３年間に害虫・ミカンバエが発生していない生産地で、１１月以降に収穫したミカンに限定する条件だった。ＪＡ三重南紀（御浜町）は３年かけて調査し、発生していないことを確認。全国に先駆けて１０年度から輸出を始めた。現地の富裕層に高級フルーツとして受け入れられ、１４年度には約２０トンを輸出するまでになった。だが「カンキツそうか病」が１２年以降に国内で確認されて以降、発生が確認されていない地域でもミカンの殺菌とカビを防ぐ処理が義務付けられるようになった。現在までに県内での発症は確認されていないが、殺菌と防カビ処理で生産者の負担は増した。ＪＡ三重南紀営農振興部の下川顕児主任は「処理は全て手作業で行うしかなかった。時間と労力がかかり、人件費も膨らんだ」と話す。対応に追われて１５年度の輸出は約１０トンに落ち込んだ。輸出検査は、日本とタイの担当者がそろって国内で立ち会って実施しており、年間に約１５０万円に上る招へい費用の負担がネックになっている。米国への輸出では日本側のみで検査している。輸出できるのが１１月１日以降に収穫したミカンに限られるのも輸出の間口を狭めている。ＪＡ三重南紀の主力は、９月中旬～１０月に収穫する「ごくわせミカン」で、その量は年間の総生産約７０００トンの約６割の約４０００トンに上る。下川主任は「爽やかな酸味が売りの看板商品。タイの方々にも届けたい」と語る。またミカンバエの生息を調べるわなを使った調査は、米国の４倍のわなの設置密度を求められており、生産者の負担になっている。国への要望では、日本の検疫官のみによる検査への簡素化▽カンキツそうか病が確認されていない地域での殺菌処理の簡略化▽９月中旬以降に収穫された「ごくわせミカン」の輸出許可▽害虫・ミカンバエの調査省力化－－の４項目を盛り込んだ。鈴木知事は「世界に通用する三重ブランドを確立したい。生産者が活気づくことは、若者の定着が課題となっている南紀地方にも追い風になるはず」と輸出拡大の意義を語る。"
"会長に車谷氏　三井住友銀行元副頭取、再建に期待","2018年2月11日 19時04分","経済,最新の経済ニュース,企業・産業,速報","東芝は、主力取引銀行の三井住友銀行元副頭取で、投資ファンドの日本法人会長を務める車谷暢昭氏（６０）を会長に迎える。就任は４月となる見込みで、近く正式決定する。東芝は企業再建の経験があり、原発業界に詳しい車谷氏の起用で、経営再建につなげたい考えだ。車谷氏は三井住友銀行で企画部門が長く、福島第１原発事故後の東京電力の支援枠組み作りに携わった。２０１７年５月に英投資ファンドのＣＶＣキャピタル・パートナーズの日本法人会長に転じた。東芝の事情にも詳しく、成長戦略を描いて経営を安定させる役割を担う。東芝は米原発事業で巨額損失が発覚し、昨年２月に会長だった志賀重範氏が引責辞任したため、会長職が空席になっていた。【古屋敷尚子】"
"Bluetoothでスマホへのシェア予約ができるミラーレス一眼カメラ「オリンパス PEN E-PL9」（GetNavi web）","2018年2月11日 13時00分","企業・産業",""
"超高画素カメラに対応するプレミアム超広角MFレンズ「サムヤン XP14mm F2.4」のニコン用発売（GetNavi web）","2018年2月10日 13時00分","企業・産業",""
"中国にＬＮＧ輸出　初の長期契約","2018年2月10日 11時11分","アメリカ,中国,最新の経済ニュース,企業・産業,速報,経済","【ワシントン清水憲司】米液化天然ガス（ＬＮＧ）大手シェニエール・エナジーは９日、中国国有エネルギー企業、中国石油天然気集団（ＣＮＰＣ）とＬＮＧ輸出の長期契約を結んだと発表した。米中間で初めての長期契約とみられる。ＬＮＧ輸出はトランプ政権が貿易赤字削減策の一環として推進しており、中国側には圧力を緩和する狙いもありそうだ。シェニエールによると、契約は２０４３年までで、今年から年１２０万トンを輸出する。これを受け、米南部で輸出基地増設の検討を進める。シェニエールは「中国は世界で最も速く成長中の市場であり、契約をうれしく思う」との声明を出した。両社は昨年１１月、トランプ大統領の訪中時に覚書を交わしていた。米国は近年、シェールガスの増産でＬＮＧ輸出国に転じた。従来の中東産ＬＮＧは原油価格に連動することが多いが、米国産は独自の指標に基づいて価格が決まる。日本や中国など輸入国にとっては調達先の分散化により、価格交渉を従来よりも優位に進められるメリットがある。"
"洗濯機業界に旋風を巻き起こすか? 環境性能の高さに世界が期待するXerosの「ポリマービーズ式洗濯マシン」（GetNavi web）","2018年2月10日 10時00分","ライフ,企業・産業",""
"現美新幹線一部リニューアル　３月３１日から","2018年2月10日 09時22分","新潟県,最新の経済ニュース,企業・産業,速報,経済","ＪＲ東日本は、上越新幹線の新潟－越後湯沢駅間を走り、車内で現代アートを展示する「世界最速の美術館」として知られる「現美新幹線」の展示内容などを一部リニューアルし、３月３１日に運行を始める。リニューアルは２０１６年４月の運行開始以来初めて。現在の列車の運行は３月２５日までとなる。新潟県の十日町市と津南町の里山を舞台に３年に１度開催される「大地の芸術祭」が７月開幕し、県内のアートに注目が集まることが期待されることからリニューアルを決めた。全６両のうち、リニューアルの対象は３両。これまで長岡花火などのイメージ映像をモニターに映していた列車では新たに、現代美術家のＡＫＩ　ＩＮＯＭＡＴＡさんが手がけた映像作品を映す。ＩＮＯＭＡＴＡさんが３Ｄプリンターで作った透明な殻を、ヤドカリが着ける様子を撮影したものなどを車内五つのモニターで上映する。他の２両では展示品を同じ作者の新作に入れ替えるという。また、カフェスペースでは新潟名物の笹（ささ）団子をアレンジしたケーキと県産ニンジンを使ったケーキを新たに発売する。価格は未定。現美新幹線は主に土日祝日に運行しており、料金は通常の新幹線と同じ。同社によると、現美新幹線の利用者数は１月末までに６万５０００人を超えている。【井口彩】"
"宮崎銀行と協定　地方創生で連携強化","2018年2月10日 08時50分","経済,最新の経済ニュース,企業・産業,速報","日本郵便は９日、地方創生や女性活躍の推進につなげようと宮崎銀行と連携強化に向けた協定を結んだと発表した。日本郵便がこうした協定を金融機関と締結するのは初めて。女性職員同士の交流を深めたり、地域の特産品の販売拡大で協力したりするのが柱で、他の地域でも地銀などとの関係を強めたい考えだ。日本郵便の横山邦男社長は宮崎市で記者会見し「地域に寄り添い事業を展開するという社会的使命を果たしたい」と述べ、地方活性化への決意を示した。「日本がさらに飛躍する上で、女性の活躍を取り入れることが必要だ」とも強調した。同席した宮崎銀の平野亘也頭取は「これをきっかけに他の地銀に連携が広がれば、日本郵便側にもメリットがある」と述べた。今後、県庁を含め幅広い分野の女性職員を集めた異業種交流会を開催するほか、日本郵便の大型商業施設「ＫＩＴＴＥ」（東京都千代田区）で宮崎県の特産品を集めた物産展も予定している。日本郵便と宮崎銀を巡っては、宮崎県内の郵便局内に昨年、全国で初めて地銀として現金自動受払機（ＡＴＭ）を設置した。"
"笑いでブランド構築　大賞に吉本興業","2018年2月10日 08時48分","経済,めっちゃ関西,最新の経済ニュース,企業・産業,速報","優れたビジネスモデルを持つ関西の企業などを表彰する「関西財界セミナー賞２０１８」が９日発表され、大賞に吉本興業（大阪市）が選ばれた。「笑い」をベースに事業を展開し、お笑いの都としての大阪ブランドを築いた点が評価された。台湾などアジアにも積極的に進出する一方、笑うことの医学的効果を大学などと共同研究している。他の受賞は次の通り。＜特別賞＞認定特定非営利活動法人フードバンク関西（寄付食品を福祉団体などに無償提供、神戸市）▽ミライロ（店舗や製品のユニバーサルデザイン化を企画、大阪市）＜輝く女性賞＞小笠原恭子・グランディーユ代表取締役▽大塚製薬▽天彦産業▽はたけのみかた"
"万博誘致へ官民一体　宣言採択し閉会","2018年2月10日 08時44分","経済,めっちゃ関西,最新の経済ニュース,企業・産業,速報","京都市で開かれた第５６回関西財界セミナー（関西経済連合会、関西経済同友会主催）は９日、国際博覧会（万博）の２０２５年大阪誘致を政府や自治体と一体になって勝ち取ることなどを盛り込んだセミナー宣言を採択し閉会した。関経連はアジア各国の経済団体と協力する新組織の創設を検討していることを表明した。２日間通じての参加者数は６６５人と過去最多だった。【関西財界セミナー取材班】関経連の松本正義会長（住友電気工業会長）は閉会後の記者会見で「未来社会を我々がデザインする決意がみなぎるセミナーだった」と総括。万博誘致についても「関西に非常に大きなインパクトがある国家事業であり、誘致活動をやり抜かないといけないと全員で結束できた」と述べた。関西同友会の鈴木博之代表幹事（丸一鋼管会長）も「イノベーション（技術革新）という言葉が繰り返し使われた。新しい考え方で対応しようという意気込みが強かった」と述べた。セミナー宣言には、文化の力を活用して発想豊かな人材を育て、海外の多彩な人材も呼び込み新産業育成につなげることや、アジアの経済団体との意思疎通を図る仕掛けを構築することも明示した。この日の分科会でも活発な議論が展開された。新産業の創出や育成をテーマとした第２分科会では、医療や航空機、エネルギー分野の産業育成に取り組むことの重要性が指摘された。新産業創造研究機構の緒方隆昌専務理事は航空機産業について「部品数が多く産業の裾野が極めて広い。材料加工企業が多く集まる関西の将来産業にふさわしい」と述べた。第５分科会ではアジア企業に関西進出を促し、協業を図るための課題を話し合った。関経連の松本会長はアジア各国と経済団体同士で協力する「アジア経済団体協力機構」を創設する検討に入ったことを表明。運搬機器製造販売「をくだ屋技研」の奥田智常務は、後継難による中小企業の廃業を防ぐ方法として「海外の人に経営を任せることも視野に入れてはどうか」と提案した。第６分科会では、変化が激しい世界経済の中で、企業がどう経営すれば良いか議論が交わされた。堀場製作所の大川昌男常務執行役員は「急成長する中国やインドの企業に対抗するには経営判断のスピードアップが大切」と発言。国連の持続可能な開発目標（ＳＤＧｓ）の取り組みを発信し、投資を呼び込むことも大事だとの指摘もあった。"
